product_id,time_viewed,top
5892179,9013,1
5809910,8473,2
5877454,6597,3
5886282,4989,4
5809912,4936,5
5877456,4816,6
5751383,4715,7
5856186,4547,8
5649236,4231,9
5809911,4220,10
5751422,4094,11
5886064,3908,12
5804820,3562,13
5849033,3466,14
5792800,3405,15
5790563,3284,16
5677043,3255,17
5846437,2932,18
5816170,2612,19
5833334,2544,20
5861591,2481,21
5866964,2434,22
5528035,2394,23
5833318,2374,24
5560756,2372,25
5700037,2324,26
5848909,2241,27
5880640,2072,28
5816166,1944,29
5560754,1922,30
5677456,1873,31
5687152,1873,31
5856191,1871,33
5854835,1845,34
5594586,1775,35
5846096,1750,36
5844894,1746,37
5730207,1726,38
5814046,1701,39
5817161,1677,40
5866962,1675,41
5815662,1669,42
89343,1666,43
5882788,1650,44
5749720,1649,45
5785144,1623,46
5859421,1611,47
5651975,1600,48
5649270,1585,49
5861276,1571,50
5588612,1558,51
5560758,1551,52
5877451,1539,53
5823915,1521,54
5850281,1511,55
5824599,1507,56
5774248,1505,57
5769877,1467,58
5859416,1459,59
5855507,1447,60
5773361,1438,61
5854578,1427,62
5826000,1413,63
5819112,1406,64
5815730,1395,65
5763379,1391,66
5828610,1381,67
5810673,1374,68
5768981,1369,69
5697545,1350,70
5649272,1344,71
5799891,1341,72
5649235,1329,73
5649219,1324,74
5885389,1322,75
5715618,1321,76
5819114,1314,77
5770135,1310,78
5877452,1298,79
5013,1298,79
5588152,1298,79
5771614,1296,82
5847334,1296,82
6941,1288,84
5715617,1286,85
5879279,1262,86
5879287,1260,87
5793261,1255,88
5651938,1254,89
5760173,1246,90
6730,1240,91
5783987,1233,92
5761411,1220,93
5816172,1216,94
5854573,1212,95
5728072,1212,95
5759279,1208,97
5795346,1208,97
5594592,1196,99
5764716,1179,100
5646845,1175,101
4591,1165,102
5877453,1144,103
5823667,1141,104
5806922,1140,105
5773605,1139,106
5590822,1126,107
5651977,1125,108
5816169,1123,109
5692527,1116,110
5854812,1105,111
5615144,1094,112
5682468,1082,113
5682470,1079,114
5763238,1062,115
5813466,1056,116
5600453,1054,117
5810145,1053,118
5528034,1051,119
5788423,1051,119
5885420,1046,121
5800788,1044,122
5844300,1040,123
5687151,1040,123
5861760,1032,125
5802162,1028,126
5754853,1022,127
5752164,1019,128
5739055,1018,129
5815731,1011,130
5686080,1011,130
5841799,1010,132
5816178,999,133
5618277,997,134
5879280,994,135
5802649,993,136
5824227,992,137
5850625,987,138
4497,985,139
5861721,982,140
5869134,977,141
5885377,959,142
5831649,957,143
5884356,950,144
38483,947,145
