product_id,event_type,count(event_type)
3752,view,4
3762,remove_from_cart,17
3762,view,84
3762,cart,35
3762,purchase,19
3763,remove_from_cart,5
3763,cart,8
3763,purchase,4
3763,view,16
3771,view,3
3774,view,37
3774,purchase,7
3774,cart,22
3774,remove_from_cart,4
3776,cart,5
3776,view,25
3776,remove_from_cart,1
3783,view,1
3788,view,1
3806,remove_from_cart,5
3806,view,38
3806,cart,10
3812,view,1
3852,view,24
3853,view,4
3854,view,6
3865,remove_from_cart,1
3865,view,67
3869,view,1
3886,view,2
3924,view,5
3928,view,21
3928,cart,12
3928,remove_from_cart,11
3928,purchase,4
3929,view,19
3929,purchase,1
3929,cart,6
3929,remove_from_cart,3
3936,view,78
3936,cart,29
3936,purchase,3
3936,remove_from_cart,7
3945,view,39
3945,purchase,4
3945,remove_from_cart,5
3945,cart,16
3959,view,45
3959,remove_from_cart,5
3959,purchase,6
3959,cart,16
3964,view,3
3978,remove_from_cart,3
3978,view,51
3978,cart,5
3978,purchase,4
3987,view,2
3990,view,1
4004,view,2
4006,purchase,6
4006,cart,8
4006,view,37
4006,remove_from_cart,3
4041,view,1
4053,view,1
4061,view,4
4062,view,9
4075,view,1
4076,view,4
4092,view,14
4092,remove_from_cart,2
4094,view,2
4102,view,5
4104,view,21
4104,cart,4
4104,purchase,6
4119,cart,8
4119,view,15
4119,remove_from_cart,4
4131,cart,3
4131,remove_from_cart,1
4131,view,10
4140,view,2
4148,view,1
4150,view,2
4154,view,4
4156,view,1
4162,view,4
4164,view,1
4184,purchase,1
4184,view,18
4184,cart,3
4185,remove_from_cart,40
4185,view,145
4185,purchase,13
4185,cart,111
4192,view,2
4200,cart,26
4200,purchase,5
4200,view,61
4200,remove_from_cart,4
4203,view,21
4203,remove_from_cart,5
4203,purchase,4
4203,cart,13
4210,cart,17
4210,purchase,10
4210,view,35
4210,remove_from_cart,5
4216,view,2
4221,view,1
4229,remove_from_cart,9
4229,cart,28
4229,purchase,4
4229,view,105
4230,view,1
4246,view,5
4246,cart,3
4246,remove_from_cart,1
4258,view,4
4261,view,1
4268,view,18
4270,cart,3
4270,view,35
4270,remove_from_cart,1
4321,view,1
4376,view,2
4379,view,1
4382,cart,10
4382,purchase,4
4382,view,37
4382,remove_from_cart,1
4391,view,5
4409,view,8
4431,view,23
4440,view,1
4443,view,1
4461,view,13
4462,view,4
4476,remove_from_cart,2
4476,view,8
4476,purchase,1
4476,cart,1
4480,view,1
4497,view,237
4497,cart,85
4497,purchase,31
4497,remove_from_cart,40
4507,view,1
4528,view,25
4528,cart,1
4540,view,7
4540,remove_from_cart,1
4540,cart,2
4542,purchase,2
4542,view,5
4542,cart,3
4542,remove_from_cart,5
4547,view,7
4547,cart,3
4549,view,24
4549,cart,5
4549,purchase,1
4552,cart,2
4552,view,4
4552,remove_from_cart,1
4554,purchase,3
4554,remove_from_cart,6
4554,view,29
4554,cart,11
4560,view,10
4560,remove_from_cart,1
4560,cart,3
4560,purchase,1
4563,view,1
4565,view,3
4565,remove_from_cart,1
4569,view,3
4569,cart,2
4571,cart,5
4571,purchase,1
4571,view,7
4571,remove_from_cart,1
4572,remove_from_cart,1
4572,cart,2
4572,view,5
4575,remove_from_cart,3
4575,cart,4
4575,view,14
4579,view,1
4581,cart,3
4581,remove_from_cart,2
4581,view,15
4581,purchase,1
4586,cart,3
4586,remove_from_cart,3
4586,purchase,1
4586,view,8
4587,view,6
4587,cart,2
4587,purchase,1
4590,cart,3
4590,view,3
4590,remove_from_cart,1
4591,view,310
4591,remove_from_cart,31
4591,cart,71
4591,purchase,14
4592,view,2
4594,remove_from_cart,2
4594,cart,2
4594,view,2
4594,purchase,1
4597,purchase,1
4597,cart,2
4597,view,2
4599,view,18
4600,cart,30
4600,purchase,15
4600,view,46
4600,remove_from_cart,5
4601,view,1
4602,cart,2
4602,view,3
4602,purchase,2
4604,cart,1
4604,view,2
4604,remove_from_cart,1
4605,view,11
4605,cart,7
4605,remove_from_cart,2
4607,view,18
4607,remove_from_cart,7
4607,purchase,8
4607,cart,11
4609,view,5
4609,cart,3
4612,remove_from_cart,1
4612,view,6
4612,purchase,1
4612,cart,3
4619,view,6
4619,cart,3
4620,cart,2
4620,view,2
4621,remove_from_cart,6
4621,purchase,4
4621,view,367
4621,cart,19
4623,view,8
4625,view,1
4631,cart,3
4631,view,5
4631,purchase,2
4632,view,14
4632,cart,5
4632,remove_from_cart,1
4632,purchase,2
4637,remove_from_cart,1
4637,purchase,4
4637,cart,7
4637,view,15
4638,cart,3
4638,purchase,1
4638,view,7
4639,remove_from_cart,1
4639,view,10
4639,cart,3
4639,purchase,2
4640,cart,2
4640,view,4
4640,purchase,1
4641,view,4
4642,view,1
4643,view,1
4644,view,3
4644,cart,1
4645,cart,11
4645,remove_from_cart,11
4645,view,13
4645,purchase,5
4646,view,4
4646,cart,4
4646,remove_from_cart,1
4647,cart,1
4647,view,2
4648,remove_from_cart,1
4648,cart,2
4648,view,8
4649,cart,2
4649,view,1
4649,purchase,2
4650,remove_from_cart,1
4650,view,5
4650,cart,3
4653,remove_from_cart,1
4653,cart,2
4653,view,4
4654,cart,2
4654,view,8
4654,remove_from_cart,2
4661,view,5
4661,cart,2
4662,view,26
4663,view,3
4663,cart,1
4664,cart,7
4664,remove_from_cart,1
4664,view,12
4664,purchase,2
4665,view,20
4666,cart,3
4666,remove_from_cart,1
4666,view,12
4667,cart,2
4667,view,2
4668,view,25
4670,cart,1
4670,view,1
4671,cart,5
4671,remove_from_cart,2
4671,view,6
4672,remove_from_cart,2
4672,view,5
4672,purchase,2
4672,cart,2
4675,cart,2
4675,view,4
4680,view,4
4680,cart,2
4681,cart,1
4681,purchase,1
4681,view,3
4683,remove_from_cart,1
4683,cart,2
4683,view,3
4685,remove_from_cart,1
4685,cart,4
4685,view,6
4686,remove_from_cart,2
4686,cart,3
4686,view,2
4689,purchase,1
4689,view,6
4689,cart,3
4689,remove_from_cart,1
4698,view,1
4703,cart,2
4703,view,2
4705,purchase,1
4705,cart,3
4705,view,6
4708,cart,2
4708,view,2
4711,cart,2
4711,view,3
4713,view,3
4713,cart,2
4719,remove_from_cart,1
4719,view,3
4719,cart,1
4719,purchase,1
4723,view,1
4737,view,5
4737,cart,3
4743,view,19
4743,cart,4
4743,purchase,1
4743,remove_from_cart,2
4750,cart,2
4750,view,3
4751,remove_from_cart,4
4751,purchase,3
4751,cart,7
4751,view,9
4753,remove_from_cart,1
4753,cart,2
4753,view,3
4754,cart,2
4754,view,3
4754,remove_from_cart,2
4758,cart,2
4758,view,2
4758,purchase,1
4759,view,1
4764,cart,2
4764,view,9
4764,remove_from_cart,1
4765,cart,4
4765,view,6
4765,remove_from_cart,2
4766,view,6
4766,cart,2
4766,purchase,2
4768,cart,9
4768,remove_from_cart,11
4768,purchase,9
4768,view,17
4772,cart,2
4772,view,2
4775,view,2
4775,cart,2
4775,remove_from_cart,2
4778,purchase,1
4778,cart,2
4778,view,2
4781,remove_from_cart,2
4781,view,7
4781,cart,2
4782,view,3
4783,cart,2
4783,view,3
4785,cart,2
4785,view,3
4788,view,12
4788,cart,4
4793,cart,2
4793,view,2
4793,purchase,1
4795,view,5
4795,purchase,2
4795,remove_from_cart,3
4795,cart,5
4796,purchase,1
4796,cart,4
4796,remove_from_cart,1
4796,view,2
4807,remove_from_cart,5
4807,cart,9
4807,view,92
4807,purchase,1
4808,cart,2
4808,purchase,1
4808,view,3
4809,view,3
4809,cart,5
4809,purchase,5
4810,cart,6
4810,purchase,1
4810,view,67
4810,remove_from_cart,2
4817,remove_from_cart,1
4817,cart,2
4817,view,3
4819,purchase,1
4819,remove_from_cart,2
4819,view,3
4819,cart,1
4820,purchase,4
4820,view,18
4820,remove_from_cart,2
4820,cart,5
4826,view,1
4826,purchase,1
4826,cart,1
4829,purchase,1
4829,remove_from_cart,3
4829,cart,2
4829,view,2
4831,cart,5
4831,remove_from_cart,2
4831,view,4
4831,purchase,2
4833,view,8
4833,purchase,1
4833,cart,2
4838,cart,2
4838,view,4
4841,cart,12
4841,remove_from_cart,4
4841,view,30
4841,purchase,8
4848,view,7
4851,view,13
4852,cart,2
4852,view,2
4853,cart,3
4853,view,3
4854,remove_from_cart,1
4854,view,7
4854,cart,3
4857,cart,2
4857,view,4
4862,cart,3
4862,view,2
4865,cart,3
4865,view,8
4865,remove_from_cart,3
4866,purchase,1
4866,view,4
4866,cart,4
4870,cart,2
4870,view,3
4870,purchase,1
4874,cart,2
4874,purchase,2
4874,view,4
4874,remove_from_cart,1
4879,cart,3
4879,purchase,1
4879,view,2
4879,remove_from_cart,1
4884,cart,2
4884,remove_from_cart,2
4884,view,5
4886,cart,3
4886,remove_from_cart,3
4886,view,6
4894,remove_from_cart,3
4894,view,29
4894,purchase,1
4894,cart,5
4895,view,10
4895,purchase,6
4895,remove_from_cart,6
4895,cart,3
4901,purchase,4
4901,cart,12
4901,remove_from_cart,7
4901,view,15
4902,cart,1
4902,view,6
4903,cart,7
4903,remove_from_cart,2
4903,view,3
4905,purchase,3
4905,cart,4
4905,remove_from_cart,7
4905,view,26
4914,view,10
4914,purchase,3
4914,cart,4
4914,remove_from_cart,4
4915,cart,4
4915,purchase,1
4915,remove_from_cart,1
4915,view,5
4921,view,3
4922,view,12
4922,cart,10
4922,remove_from_cart,7
4922,purchase,12
4923,view,11
4923,cart,2
4931,cart,3
4931,view,2
4934,view,27
4936,view,26
4936,remove_from_cart,1
4936,purchase,3
4936,cart,3
4938,purchase,29
4938,view,48
4938,remove_from_cart,22
4938,cart,36
4940,view,11
4940,remove_from_cart,3
4940,cart,5
4940,purchase,1
4942,view,7
4942,cart,3
4950,cart,2
4950,remove_from_cart,2
4950,view,4
4958,purchase,39
4958,remove_from_cart,24
4958,view,182
4958,cart,61
4959,cart,4
4959,remove_from_cart,2
4959,view,5
4961,cart,5
4961,remove_from_cart,5
4961,view,13
4961,purchase,2
4962,view,139
4962,purchase,4
4962,remove_from_cart,1
4962,cart,5
4964,remove_from_cart,2
4964,cart,3
4964,view,15
4965,purchase,5
4965,remove_from_cart,6
4965,view,174
4965,cart,22
4967,view,18
4967,cart,6
4967,remove_from_cart,9
4967,purchase,4
4969,cart,6
4969,purchase,4
4969,view,6
4969,remove_from_cart,4
4972,view,36
4972,cart,3
4972,remove_from_cart,2
4975,view,12
4975,cart,3
4975,purchase,4
4977,view,67
4977,remove_from_cart,4
4977,purchase,3
4977,cart,8
4985,purchase,5
4985,cart,8
4985,view,12
4985,remove_from_cart,5
4986,cart,2
4986,purchase,1
4986,remove_from_cart,3
4986,view,130
4996,view,19
4996,cart,6
4996,remove_from_cart,4
4997,view,9
4997,remove_from_cart,3
4997,cart,5
4997,purchase,1
5001,view,115
5001,cart,14
5001,remove_from_cart,5
5001,purchase,4
5006,cart,5
5006,purchase,1
5006,view,8
5006,remove_from_cart,3
5007,cart,7
5007,remove_from_cart,1
5007,view,5
5007,purchase,2
5013,purchase,40
5013,remove_from_cart,52
5013,cart,93
5013,view,97
5020,cart,16
5020,view,41
5020,remove_from_cart,9
5020,purchase,4
5022,remove_from_cart,21
5022,purchase,13
5022,cart,53
5022,view,107
5023,remove_from_cart,8
5023,view,29
5023,cart,11
5023,purchase,3
5024,cart,15
5024,view,100
5024,remove_from_cart,7
5024,purchase,1
5025,cart,3
5025,view,5
5025,remove_from_cart,1
5027,cart,1
5027,purchase,1
5027,view,5
5028,view,9
